DATE,PN02312FM,PD37976BM,PN02028AM,PD37972BM,PD37974BM,Class
2010-12-01,0.014542574762486993,0.007558881774921922,0.005796043910858195,0.012476443898494338,0.007729774049586524,0
2011-01-01,0.014257709861665191,0.005894431964445168,0.004930567542752229,0.011986141014417306,0.0089174608096112,0
2011-02-01,0.013765481071860819,0.004597808375459422,0.004206352212007047,0.011276099509769821,0.010299682927231046,0
2011-03-01,0.01298050296117026,0.003908243565797775,0.0035000584133557666,0.010517680310707433,0.011413801141907598,0
2011-04-01,0.012299847679281939,0.004005996361858166,0.0027285406509811594,0.009640939725414022,0.012757545673384385,0
2011-05-01,0.011726784535451173,0.00481725726707527,0.0019078564203249826,0.008785221868579995,0.014518660579668108,0
2011-06-01,0.011082820899577683,0.005547115104366007,0.0010070602763647685,0.007817676771551874,0.016086643201631112,0
2011-07-01,0.010385825741016319,0.0056192242887691535,0.00012462028297832717,0.006844545156188708,0.017105872141390144,0
2011-08-01,0.009827894463601439,0.005246057395866366,-0.0005616335502107717,0.006435195693850204,0.01826961678452843,0
2011-09-01,0.00932550729627657,0.004997328133611312,-0.0010108871235008365,0.006627280297444749,0.019852588261946025,0
2011-10-01,0.00870865751217842,0.005500452420611701,-0.0011793140091347354,0.006976983859324548,0.021424820616767093,0
2011-11-01,0.007930033294442751,0.006455010870389799,-0.0011192470551293354,0.0072948401089236725,0.02213229691342633,0
2011-12-01,0.007344338903079617,0.007527899404632166,-0.0009649640838267359,0.00742134826508245,0.021785918748892463,0
2012-01-01,0.007009529621539556,0.008851712145851565,-0.0006637229361921015,0.007358182235941868,0.020890123199588828,0
2012-02-01,0.006795342035866625,0.010044737317766561,-0.00024104676931724356,0.0070348124751236085,0.01983928290932191,0
2012-03-01,0.006644486164512742,0.0103962238071027,0.00012486329497019,0.006406643928102085,0.018446974951576323,0
2012-04-01,0.006415377045167148,0.009883537183346114,0.0006277431747463424,0.005478330653274632,0.016717436206070246,0
2012-05-01,0.006198098744658154,0.008514312331444174,0.0011611287053971964,0.004211494636862767,0.015047418831982462,0
2012-06-01,0.005910762562868044,0.006668489139290301,0.0015995202498766403,0.0029993647029424864,0.013605163666141173,0
2012-07-01,0.005575065561652437,0.005148474907382017,0.002163828414494695,0.001959344163120491,0.012580535780008617,0
2012-08-01,0.005153666247112554,0.004050005542281632,0.002690317503480699,0.0010002760666436572,0.011279608314961997,0
2012-09-01,0.004671370236158268,0.002879603573154199,0.003099966111094865,2.386174843760358e-05,0.0095322300631695,0
2012-10-01,0.004303705580168682,0.0019674833428506844,0.003427570218414111,-0.0008081433769770996,0.00781426452471834,0
2012-11-01,0.004135728149737616,0.0013409692535661932,0.0035373055333085546,-0.0013910623155082291,0.006220704319918724,0
2012-12-01,0.004225059174416401,0.0004923241081282725,0.003444588122403225,-0.0017684651373031102,0.004776385023953722,0
2013-01-01,0.004428591023238226,-0.0006446833047561995,0.003179036767826382,-0.0018731495220034589,0.0033584772251771255,0
2013-02-01,0.004830767514656387,-0.0019749032040365933,0.0027319326726109594,-0.0015592909264441346,0.0016130289007145748,0
2013-03-01,0.005498374682057161,-0.003140952408029918,0.0022724531152249483,-0.0009688501721552001,-3.1638352961493865e-05,0
2013-04-01,0.0062433179682042095,-0.0037559304453314013,0.0019128958761278625,6.356877527924354e-05,-0.0011836661296085182,0
